data,description,detail_url,mall,price,score,title,url
,"
                    ",https://www.smzdm.com/p/13988916/,,"
                            178.9元                        ",,Midea 美的 RT2140 电磁炉,https://www.smzdm.com/fenlei/jiayongdianqi/
14分钟前					     																,"
                        立体卫生巾。20片。价格可以了。三洋老品牌。                    ",https://www.smzdm.com/p/13989041/,"
                                                                                亚马逊海外购                                    ","
                            45元                        ",0,(跨境自营)(包税) Dacco 产妇立体卫生巾M 10片*2,https://www.smzdm.com/fenlei/muyingyongpin/
16分钟前					     																,"
                                                    MENGNIU 蒙牛 冠益乳 草莓果粒酸奶采用生牛乳、白砂糖、桑葚果粒等发酵而成。入口醇香柔滑，450g/件。售价13.9买二送一参加活动169-50叠加优惠券...                            ",https://www.smzdm.com/p/13989016/,"
                                                                                京东                                    ","
                            126元（合6元/件）                        ",0,蒙牛 冠益乳 风味发酵乳 桑葚口味酸奶酸牛奶 450g（两件起售） *21件+凑单品,https://www.smzdm.com/fenlei/shipinbaojian/
3小时前					     																,"
                        京东特价至3799元，感兴趣的值友可关注。                    ",https://www.smzdm.com/p/13986723/,"
                                                                                京东                                    ","
                            3799元包邮                        ",0,Vivitek 丽讯 Qumi Q6炫酷黑 家用投影仪,https://www.smzdm.com/fenlei/touyingshebei/
35分钟前					     																,"
                                                    本书为马伯庸全新长篇，打造独树一帜的中国风航海探险小说。游走于历史与传说的边界，一段波澜壮阔、妙趣横生的海上冒险之旅。相传女皇武则天在南洋之上建造堆满珍宝的佛岛...                            ",https://www.smzdm.com/p/13987742/,"
                                                                                京东                                    ","
                            73.2，可400-260                        ",0,《四海鲸骑》（套装全2册）,https://www.smzdm.com/fenlei/tushuyinxiang/
,"
                    ",https://www.smzdm.com/p/13849123/,,"
                            4999元包邮                        ",, 广闻 会议平板 55英寸 ,https://www.smzdm.com/fenlei/huiyishebei/
04-10 16:48					     																,"
                        4月11日00:00，1298元，1000-100,1198元。                    ",https://www.smzdm.com/p/13383881/,"
                                                                                京东                                    ","
                                                                                                ",2,THRUSTMASTER 图马思特 T3PA Pro 全仿真三向式脚踏板,https://www.smzdm.com/fenlei/fangxiangpan/
,"
                    ",https://www.smzdm.com/p/13973170/,,"
                            129包邮（需关注店铺）                        ",,SOMIC 硕美科 G628 入耳式耳麦耳塞,https://www.smzdm.com/fenlei/youxierji/
,"
                    ",https://www.smzdm.com/p/11291330/,,"
                            12899元                        ",,戴尔 DELL T630 塔式服务器（E5-2603V4/无内存/无硬盘/DVDRW/H330/750W双电）三年质保,https://www.smzdm.com/fenlei/fuwuqi/
4小时前					     																,"
                                                    美的这款型号为WQP8-W3908T-CN的智能洗碗机，能够智能判断餐具脏污程度，自动匹配洗涤模式；创新的INNOWASH加强烘干系统，改善了行业痛点——干燥不...                            ",https://www.smzdm.com/p/13986513/,"
                                                                                天猫精选                                    ","
                            2799元                        ",0,Midea 美的 WQP8-W3908T-CN 洗碗机,https://www.smzdm.com/fenlei/xiwanji/
